Name,Data.Carbohydrate,Data.Protein,Data.Fat.Total Lipid
"Haddock, cooked, NS as to cooking method",0.1,19.93,4.33
"Haddock, baked or broiled, fat added",0.1,19.93,4.33
"Haddock, baked or broiled, no added fat",0.1,20.53,0.57
"Haddock, coated, baked or broiled, fat added",12.51,17.5,6.9
"Haddock, coated, baked or broiled, no added fat",13.1,18.32,1.2
"Haddock, coated, fried",9.85,16.91,10.71
"Haddock, steamed or poached",0.0,20.5,0.57
"Haddock, smoked",0.0,25.23,0.96
"Halibut, raw",0.0,18.56,1.33
"Halibut, cooked, NS as to cooking method",0.1,22.69,5.4
"Halibut, baked or broiled, made with oil",0.1,22.69,5.4
"Halibut, baked or broiled, made with butter",0.1,22.72,4.69
"Halibut, baked or broiled, made with margarine",0.13,22.7,4.08
"Halibut, baked or broiled, no added fat",0.1,23.38,1.68
"Halibut, baked or broiled, made with cooking spray",0.2,23.29,2.06
"Halibut, coated, baked or broiled, made with oil",12.51,19.61,7.73
"Halibut, coated, baked or broiled, made with butter",12.51,19.66,6.64
"Halibut, coated, baked or broiled, made with margarine",12.56,19.62,5.71
"Halibut, coated, baked or broiled, no added fat",13.1,20.53,2.06
"Halibut, coated, baked or broiled, made with cooking spray",13.14,20.47,2.36
"Halibut, coated, fried, made with oil",9.85,18.84,11.46
"Halibut, coated, fried, made with butter",9.86,18.91,9.82
"Halibut, coated, fried, made with margarine",9.93,18.85,8.42
"Halibut, coated, fried, no added fat",11.6,22.17,3.24
"Halibut, coated, fried, made with cooking spray",11.64,22.1,3.54
"Halibut, steamed or poached",0.0,23.34,1.67
"Halibut, smoked",0.0,44.61,3.2
"Herring, raw",0.0,17.96,9.04
"Herring, cooked, NS as to cooking method",0.1,21.96,14.83
"Herring, baked or broiled, fat added",0.1,21.96,14.83
"Herring, baked or broiled, no added fat",0.1,22.62,11.39
"Herring, coated, baked or broiled, fat added",12.51,19.05,14.92
"Herring, coated, baked or broiled, no added fat",13.1,19.94,9.59
"Herring, coated, fried",9.85,18.33,18.04
"Herring, pickled, in cream sauce",8.59,11.73,18.28
"Herring, dried, salted",0.0,55.71,28.04
"Herring, pickled",9.64,14.19,18.0
"Herring, smoked, kippered",0.0,24.58,12.37
"Mackerel, raw",0.0,19.08,11.91
"Mackerel, cooked, NS as to cooking method",0.1,23.34,18.3
"Mackerel, baked or broiled, fat added",0.1,23.34,18.31
"Mackerel, baked or broiled, no added fat",0.1,24.05,14.98
"Mackerel, coated, baked or broiled, fat added",12.51,20.1,17.57
"Mackerel, coated, baked or broiled, no added fat",13.09,21.05,12.37
"Mackerel, coated, fried",9.85,19.29,20.47
"Mackerel, pickled",4.02,11.07,17.33
"Mackerel, canned",0.0,23.19,6.3
"Mackerel, smoked",0.0,25.54,10.04
"Mullet, raw",0.0,19.35,3.79
"Mullet, cooked, NS as to cooking method",9.86,19.51,13.56
"Mullet, baked or broiled, fat added",0.1,23.66,8.41
"Mullet, baked or broiled, no added fat",0.1,24.37,4.78
"Mullet, coated, baked or broiled, fat added",12.51,20.34,10.02
"Mullet, coated, baked or broiled, no added fat",13.1,21.3,4.46
"Mullet, coated, fried",9.85,19.51,13.56
"Mullet, steamed or poached",0.0,24.33,4.77
"Ocean perch, raw",0.0,15.31,1.54
"Ocean perch, cooked, NS as to cooking method",0.1,18.72,5.66
"Ocean perch, baked or broiled, fat added",0.1,18.72,5.66
"Ocean perch, baked or broiled, no added fat",0.1,19.29,1.94
"Ocean perch, coated, baked or broiled, fat added",12.51,16.58,7.92
"Ocean perch, coated, baked or broiled, no added fat",13.1,17.36,2.27
"Ocean perch, coated, fried",9.85,16.07,11.64
"Ocean perch, steamed or poached",0.0,19.25,1.94
"Perch, cooked, NS as to cooking method",9.86,19.55,11.11
"Perch, baked or broiled, made with oil",0.1,23.71,4.9
"Perch, baked or broiled, made with butter",0.1,23.74,4.19
"Perch, baked or broiled, made with margarine",0.13,23.71,3.58
"Perch, baked or broiled, no added fat",0.1,24.42,1.16
"Perch, baked or broiled, made with cooking spray",0.2,24.33,1.55
"Perch, coated, baked or broiled, made with oil",12.51,20.38,7.34
"Perch, coated, baked or broiled, made with butter",12.51,20.43,6.26
"Perch, coated, baked or broiled, made with margarine",12.56,20.39,5.33
"Perch, coated, baked or broiled, no added fat",13.1,21.34,1.66
"Perch, coated, baked or broiled, made with cooking spray",13.14,21.28,1.96
"Perch, coated, fried, made with oil",9.85,19.55,11.11
"Perch, coated, fried, made with butter",9.86,19.62,9.47
"Perch, coated, fried, made with margarine",9.93,19.56,8.07
"Perch, coated, fried, no added fat",11.6,23.0,2.82
"Perch, coated, fried, made with cooking spray",11.64,22.94,3.13
"Perch, steamed or poached",0.0,24.38,1.16
"Pike, cooked, NS as to cooking method",13.87,19.15,11.13
"Pike, baked or broiled, fat added",0.1,23.55,4.62
"Pike, baked or broiled, no added fat",0.1,24.26,0.87
"Pike, coated, baked or broiled, fat added",12.51,20.26,7.13
"Pike, coated, baked or broiled, no added fat",13.1,21.21,1.44
"Pike, coated, fried",9.85,19.44,10.92
"Pike, steamed or poached",0.0,24.22,0.87
"Pompano, raw",0.0,18.48,9.47
"Pompano, cooked, NS as to cooking method",0.1,22.59,15.35
"Pompano, baked or broiled, fat added",0.1,22.59,15.35
"Pompano, baked or broiled, no added fat",0.1,23.28,11.93
"Pompano, coated, baked or broiled, fat added",12.51,19.53,15.32
"Pompano, coated, baked or broiled, no added fat",13.1,20.45,10.01
"Pompano, coated, fried",9.85,18.77,18.41
"Pompano, steamed or poached",0.0,23.24,11.91
"Pompano, smoked",0.0,21.58,11.06
"Porgy, raw",0.0,18.88,2.73
"Porgy, cooked, NS as to cooking method",0.1,23.08,7.11
"Porgy, baked or broiled, fat added",0.1,23.08,7.11
"Porgy, baked or broiled, no added fat",0.1,23.78,3.44
"Porgy, coated, baked or broiled, fat added",12.51,19.91,9.03
"Porgy, coated, baked or broiled, no added fat",13.1,20.84,3.43
"Porgy, coated, fried",9.85,19.11,12.66
"Porgy, steamed or poached",0.0,23.74,3.43
"Ray, cooked, NS as to cooking method",0.1,25.65,9.29
"Ray, baked or broiled, fat added",0.1,25.65,9.29
"Ray, baked or broiled, no added fat",0.1,26.43,5.68
"Ray, coated, baked or broiled, fat added",12.51,21.86,10.69
"Ray, coated, baked or broiled, no added fat",13.1,22.89,5.17
"Ray, coated, fried",9.85,20.9,14.18
"Ray, steamed or poached",0.0,26.38,5.67
"Salmon, raw",0.0,20.5,4.4
"Salmon, cooked, NS as to cooking method",0.1,25.06,9.15
"Salmon, baked or broiled, made with oil",0.1,25.06,9.15
"Salmon, baked or broiled, made with butter",0.1,25.09,8.44
"Salmon, baked or broiled, made with margarine",0.13,25.07,7.84
"Salmon, baked or broiled, no added fat",0.1,25.82,5.54
"Salmon, baked or broiled, made with cooking spray",0.2,25.72,5.92
"Salmon, coated, baked or broiled, made with oil",12.51,21.42,10.59
"Salmon, coated, baked or broiled, made with butter",12.51,21.47,9.5
"Salmon, coated, baked or broiled, made with margarine",12.56,21.43,8.58
"Salmon, coated, baked or broiled, no added fat",13.1,22.42,5.06
"Salmon, coated, baked or broiled, made with cooking spray",13.14,22.36,5.35
"Salmon, coated, fried, made with oil",9.85,20.5,14.08
"Salmon, coated, fried, made with butter",9.86,20.57,12.44
"Salmon, coated, fried, made with margarine",9.93,20.51,11.04
"Salmon, coated, fried, no added fat",11.6,24.12,6.32
"Salmon, coated, fried, made with cooking spray",11.64,24.05,6.61
"Salmon, steamed or poached",0.0,25.78,5.53
"Salmon, dried",0.0,64.06,13.75
"Salmon, canned",0.0,20.55,5.48
"Salmon, smoked",0.0,18.28,4.32
"Sardines, cooked",0.0,24.62,11.45
"Sardines, dried",0.0,46.06,23.18
"Sardines, canned in oil",0.0,24.62,11.45
"Sardines, skinless, boneless, packed in water",0.54,20.86,10.45
"Sea bass, cooked, NS as to cooking method",0.1,22.53,6.22
"Sea bass, baked or broiled, fat added",0.1,22.53,6.22
"Sea bass, baked or broiled, no added fat",0.1,23.22,2.52
"Sea bass, coated, baked or broiled, fat added",12.51,19.49,8.35
"Sea bass, coated, baked or broiled, no added fat",13.1,20.4,2.72
"Sea bass, coated, fried",9.85,18.73,12.04
"Sea bass, steamed or poached",0.0,23.18,2.52
"Sea bass, pickled",4.02,10.98,10.56
"Shark, cooked, NS as to cooking method",0.1,25.65,9.29
"Shark, baked or broiled, fat added",0.1,25.65,9.29
"Shark, baked or broiled, no added fat",0.1,26.43,5.68
"Shark, coated, baked or broiled, fat added",12.51,21.86,10.69
"Shark, coated, baked or broiled, no added fat",13.1,22.89,5.17
"Shark, coated, fried",9.85,20.9,14.18
"Shark, steamed or poached",0.0,26.38,5.67
"Sturgeon, cooked, NS as to cooking method",0.1,19.73,8.71
"Sturgeon, baked or broiled, fat added",0.1,19.73,8.71
"Sturgeon, steamed",0.0,20.3,5.08
"Sturgeon, coated, fried",9.85,16.77,13.78
"Sturgeon, smoked",0.0,31.2,4.4
"Swordfish, cooked, NS as to cooking method",0.1,24.04,11.9
"Swordfish, baked or broiled, fat added",0.1,24.04,11.9
"Swordfish, baked or broiled, no added fat",0.1,24.76,8.38
"Swordfish, coated, baked or broiled, fat added",12.51,20.63,12.69
"Swordfish, coated, baked or broiled, no added fat",13.1,21.6,7.26
"Swordfish, coated, fried",9.85,19.78,16.0
"Swordfish, steamed or poached",0.0,24.72,8.36
"Trout, cooked, NS as to cooking method",0.1,24.38,11.33
"Trout, baked or broiled, made with oil",0.1,24.38,11.33
"Trout, baked or broiled, made with butter",0.1,24.41,10.62
"Trout, baked or broiled, made with margarine",0.13,24.38,10.01
"Trout, baked or broiled, no added fat",0.1,25.12,7.79
"Trout, baked or broiled, made with cooking spray",0.2,25.02,8.15
"Trout, coated, baked or broiled, made with oil",12.51,20.9,12.25
"Trout, coated, baked or broiled, made with butter",12.51,20.94,11.16
"Trout, coated, baked or broiled, made with margarine",12.56,20.9,10.24
"Trout, coated, baked or broiled, no added fat",13.1,21.88,6.8
"Trout, coated, baked or broiled, made with cooking spray",13.14,21.81,7.08
"Trout, coated, fried, made with oil",9.85,20.02,15.6
"Trout, coated, fried, made with butter",9.86,20.09,13.96
"Trout, coated, fried, made with margarine",9.93,20.03,12.56
"Trout, coated, fried, no added fat",11.6,23.56,8.11
"Trout, coated, fried, made with cooking spray",11.64,23.49,8.4
"Trout, steamed or poached",0.0,25.08,7.77
"Trout, smoked",0.0,35.47,10.99
"Tuna, fresh, raw",0.0,24.4,0.49
"Tuna, fresh, cooked, NS as to cooking method",0.1,29.83,4.38
"Tuna, fresh, baked or broiled, fat added",0.1,29.83,4.38
"Tuna, fresh, baked or broiled, no added fat",0.1,30.73,0.62
"Tuna, fresh, coated, baked or broiled, fat added",12.51,25.05,6.94
"Tuna, fresh, coated, baked or broiled, no added fat",13.1,26.23,1.24
"Tuna, fresh, coated, fried",9.85,23.82,10.75
"Tuna, fresh, steamed or poached",0.0,30.68,0.62
"Tuna, fresh, dried",0.0,76.25,1.53
"Tuna, fresh, smoked",0.0,25.54,10.04
"Tuna, canned, NS as to oil or water pack",0.08,19.0,0.94
"Tuna, canned, oil pack",0.0,29.13,8.21
"Tuna, canned, water pack",0.08,19.0,0.94
"Whiting, cooked, NS as to cooking method",9.86,18.62,11.44
"Whiting, baked or broiled, made with oil",0.1,22.39,5.38
"Whiting, baked or broiled, made with butter",0.1,22.42,4.66
"Whiting, baked or broiled, made with margarine",0.13,22.39,4.06
"Whiting, baked or broiled, no added fat",0.1,23.06,1.65
"Whiting, baked or broiled, made with cooking spray",0.2,22.98,2.04
"Whiting, coated, baked or broiled, made with oil",12.51,19.38,7.71
"Whiting, coated, baked or broiled, made with butter",12.51,19.42,6.62
"Whiting, coated, baked or broiled, made with margarine",12.56,19.38,5.69
"Whiting, coated, baked or broiled, no added fat",13.1,20.28,2.04
"Whiting, coated, baked or broiled, made with cooking spray",13.14,20.23,2.34
"Whiting, coated, fried, made with oil",9.85,18.62,11.45
"Whiting, coated, fried, made with butter",9.86,18.7,9.8
"Whiting, coated, fried, made with margarine",9.93,18.64,8.4
"Whiting, coated, fried, no added fat",11.6,21.92,3.22
"Whiting, coated, fried, made with cooking spray",11.64,21.85,3.52
"Whiting, steamed or poached",0.0,23.02,1.65
"Tilapia, cooked, NS as to cooking method",0.1,24.55,5.85
"Tilapia, baked or broiled, made with oil",0.1,24.55,5.85
"Tilapia, baked or broiled, made with butter",0.1,24.58,5.14
"Tilapia, baked or broiled, made with margarine",0.13,24.56,4.54
"Tilapia, baked or broiled, no added fat",0.1,25.29,2.14
"Tilapia, baked or broiled, made with cooking spray",0.2,25.2,2.53
"Tilapia, coated, baked or broiled, made with oil",12.51,21.02,8.07
"Tilapia, coated, baked or broiled, made with butter",12.51,21.07,6.98
"Tilapia, coated, baked or broiled, made with margarine",12.56,21.04,6.06
"Tilapia, coated, baked or broiled, no added fat",13.1,22.01,2.42
"Tilapia, coated, baked or broiled, made with cooking spray",13.14,21.95,2.72
"Tilapia, coated, fried, made with oil",9.85,20.14,11.78
"Tilapia, coated, fried, made with butter",9.86,20.21,10.13
"Tilapia, coated, fried, made with margarine",9.93,20.15,8.73
"Tilapia, coated, fried, no added fat",11.6,23.7,3.61
"Tilapia, coated, fried, made with cooking spray",11.64,23.63,3.91
"Tilapia, steamed or poached",0.0,25.25,2.14
"Frog legs, NS as to cooking method",10.21,17.62,10.97
"Frog legs, steamed",0.0,20.62,0.38
"Octopus, cooked, NS as to cooking method",12.16,16.3,11.63
"Octopus, steamed",4.37,29.62,2.07
"Octopus, dried",8.34,56.52,3.94
"Octopus, dried, boiled",4.38,29.69,2.07
"Octopus, smoked",4.4,29.82,2.08
"Roe, shad, cooked",1.93,27.29,11.62
"Roe, herring",1.5,22.32,6.42
"Roe, sturgeon",4.0,24.6,17.9
"Squid, raw",3.08,15.58,1.38
"Squid, baked or broiled, fat added",3.76,18.57,5.33
"Squid, baked or broiled, no added fat",3.88,19.14,1.7
"Squid, coated, baked or broiled, fat added",15.0,16.41,7.58
"Squid, coated, baked or broiled, no added fat",15.7,17.18,2.06
"Squid, coated, fried",12.94,16.89,11.93
"Squid, steamed or boiled",6.13,31.02,2.75
"Squid, dried",11.65,58.94,5.22
"Squid, pickled",2.96,14.93,1.32
"Squid, canned",3.54,17.9,1.59
"Turtle, cooked, NS as to cooking method",0.09,23.6,4.28
"Abalone, cooked, NS as to cooking method",7.26,20.38,4.59
"Abalone, floured or breaded, fried",15.53,18.24,11.38
"Abalone, steamed or poached",11.97,34.05,1.51
"Clams, raw",3.57,14.67,0.96
"Clams, cooked, NS as to cooking method",4.35,17.49,4.83
"Clams, baked or broiled, fat added",4.35,17.49,4.83
"Clams, baked or broiled, no added fat",4.48,18.02,1.18
"Clams, coated, baked or broiled, fat added",15.44,15.58,7.2
"Clams, coated, baked or broiled, no added fat",16.17,16.31,1.66
"Clams, coated, fried",13.37,16.09,11.56
"Clams, steamed or boiled",7.11,29.21,1.91
"Clams, canned",4.46,18.34,1.2
"Clams, smoked, in oil",4.05,16.64,11.82
"Crab, cooked, NS as to cooking method",0.0,17.76,0.74
"Crab, baked or broiled, fat added",0.09,21.31,4.56
"Crab, baked or broiled, no added fat",0.1,21.96,0.91
"Crab, coated, baked or broiled, fat added",12.2,18.5,7.0
"Crab, coated, baked or broiled, no added fat",12.77,19.37,1.45
"Crab, hard shell, steamed",0.0,17.76,0.74
"Crab, canned",0.0,17.88,0.74
"Crab, soft shell, coated, fried",10.21,18.93,11.36
"Crayfish, coated, fried",10.21,17.24,11.55
"Crayfish, boiled or steamed",0.0,16.66,1.19
"Lobster, cooked, NS as to cooking method",0.0,18.88,0.85
"Lobster, baked or broiled, fat added",0.09,19.69,4.58
"Lobster, baked or broiled, no added fat",0.1,20.29,0.92
"Lobster, coated, fried",10.21,17.72,11.37
"Lobster, steamed or boiled",0.0,18.88,0.85
"Lobster, coated, baked or broiled, fat added",12.2,17.26,7.0
"Lobster, coated, baked or broiled, no added fat",12.77,18.07,1.46
"Lobster, canned",0.0,19.0,0.86
"Mussels, raw",3.69,11.9,2.24
"Mussels, cooked, NS as to cooking method",7.35,23.7,4.46
"Mussels, steamed or poached",7.35,23.7,4.46
"Oysters, raw",2.72,5.71,1.71
"Oysters, cooked, NS as to cooking method",12.62,8.16,12.22
"Oysters, baked or broiled, fat added",3.34,6.81,5.72
"Oysters, baked or broiled, no added fat",3.44,7.02,2.1
"Oysters, steamed",5.42,11.37,3.4
"Oysters, coated, fried",12.62,8.16,12.22
"Oysters, coated, baked or broiled, fat added",14.67,7.43,7.88
"Oysters, coated, baked or broiled, no added fat",15.36,7.78,2.37
"Oysters, canned",4.25,7.67,2.68
"Oysters, smoked",4.38,9.2,2.76
"Scallops, cooked, NS as to cooking method",3.88,14.38,4.26
"Scallops, baked or broiled, fat added",3.88,14.38,4.26
"Scallops, baked or broiled, no added fat",4.0,14.81,0.6
"Scallops, steamed or boiled",6.33,24.01,0.98
"Scallops, coated, fried",13.03,13.78,11.14
"Scallops, coated, baked or broiled, fat added",15.09,13.21,6.77
"Scallops, coated, baked or broiled, no added fat",15.8,13.83,1.21
"Shrimp, cooked, NS as to cooking method",11.02,15.15,11.6
"Shrimp, baked or broiled, made with oil",1.18,16.23,4.88
"Shrimp, baked or broiled, made with butter",1.18,16.26,4.19
"Shrimp, baked or broiled, made with margarine",1.21,16.23,3.6
"Shrimp, baked or broiled, no added fat",1.21,16.72,1.24
"Shrimp, baked or broiled, made with cooking spray",1.31,16.65,1.62
"Shrimp, steamed or boiled",1.16,17.37,1.29
"Shrimp, coated, fried, made with oil",11.02,15.15,11.6
"Shrimp, coated, fried, made with butter",11.02,15.22,9.89
"Shrimp, coated, fried, made with margarine",11.09,15.16,8.44
"Shrimp, coated, fried, no added fat",12.2,16.77,2.84
"Shrimp, coated, fried, made with cooking spray",12.24,16.72,3.14
"Shrimp, coated, fried, from fast food / restaurant",22.29,12.67,18.67
"Shrimp, coated, baked or broiled, made with oil",13.02,14.62,7.24
"Shrimp, coated, baked or broiled, made with butter",13.03,14.66,6.18
"Shrimp, coated, baked or broiled, made with margarine",13.07,14.63,5.28
"Shrimp, coated, baked or broiled, no added fat",13.64,15.3,1.7
"Shrimp, coated, baked or broiled, made with cooking spray",13.68,15.26,2.0
"Shrimp, dried",0.0,51.7,3.44
"Shrimp, canned",0.0,20.42,1.36
"Snails, cooked, NS as to cooking method",2.48,19.19,5.35
Beef with tomato-based sauce,1.58,21.72,6.36
Beef goulash,2.79,13.69,3.78
Beef burgundy,4.06,18.5,5.99
"Beef stew, no potatoes, tomato-based sauce, Mexican style",3.33,14.8,4.39
"Beef stew, no potatoes, tomato-based sauce, with chili peppers, Mexican style",4.37,11.34,3.39
"Chili con carne, NS as to beans",7.22,8.05,4.21
"Chili con carne with beans, from restaurant",4.57,12.56,9.79
"Chili con carne with beans, home recipe",7.21,8.05,4.21
"Chili con carne with beans, canned",13.1,5.8,3.47
Chili con carne with beans,10.31,6.87,3.82
Chili con carne without beans,6.1,7.53,7.1
"Chili con carne, NS as to beans, with cheese",12.54,6.72,5.07
Chili con carne with beans and cheese,12.54,6.72,5.07
"Beef sloppy joe, no bun",9.14,10.61,6.65
Beef with gravy,1.58,21.56,7.05
Salisbury steak with gravy,6.78,6.98,10.47
Beef with cream or white sauce,2.74,22.49,9.24
Beef stroganoff,5.99,9.91,9.6
Creamed chipped or dried beef,7.57,7.63,7.9
Swedish meatballs with cream or white sauce,6.32,12.47,10.26
Beef with mushroom sauce,1.84,21.97,7.52
Beef with soy-based sauce,3.46,15.86,12.38
Steak teriyaki,1.94,28.86,8.25
Beef curry,6.46,7.56,6.53
Beef curry with rice,15.08,5.61,4.03
Beef with barbecue sauce,11.75,20.86,6.23
Beef with sweet and sour sauce,16.01,11.55,8.36
"Stewed seasoned ground beef, Mexican style",1.31,13.5,14.58
Steak tartare,1.56,15.67,13.84
"Meatballs, Puerto Rican style",6.86,13.82,17.34
"Stewed seasoned ground beef, Puerto Rican style",3.9,13.1,25.56
"Stewed dried beef, Puerto Rican style",3.88,17.69,19.15
"Stuffed pot roast, Puerto Rican style, NFS",1.2,18.64,18.84
"Beef stew, meat with gravy, no potatoes, Puerto Rican style",1.88,16.52,17.52
Ham or pork with gravy,1.58,20.15,7.49
Ham or pork with barbecue sauce,12.69,21.04,7.19
Sweet and sour pork,17.82,11.54,8.45
Ham stroganoff,4.97,7.47,9.18
Ham or pork with mushroom sauce,1.84,20.55,7.96
Ham or pork with tomato-based sauce,1.59,20.3,6.8
Sausage with tomato-based sauce,2.58,13.28,19.09
Sausage gravy,7.64,6.76,13.42
"Pork stew, no potatoes, tomato-based sauce, Mexican style",3.33,14.31,4.27
Pork or ham with soy-based sauce,3.46,14.87,12.69
"Frankfurter or hot dog, with chili, no bun",8.36,8.87,15.72
Frankfurters or hot dogs with tomato-based sauce,3.71,8.94,20.64
Pork with chili and tomatoes,2.68,11.64,3.99
"Stewed pork, Puerto Rican style",2.77,17.92,12.69
"Chili con carne with beans, made with pork",7.2,8.07,5.12
Lamb or mutton with gravy,1.58,17.29,15.37
Lamb or mutton goulash,3.1,13.07,6.38
"Stewed goat, Puerto Rican style",1.99,22.31,18.08
Veal with gravy,1.58,25.4,5.19
Veal scallopini,1.28,18.75,17.46
Veal with cream sauce,2.74,26.32,7.38
Veal with butter sauce,1.49,15.09,9.26
Veal Marsala,6.52,16.66,8.56
Veal parmigiana,8.29,15.33,11.88
Veal cordon bleu,9.26,20.69,14.36
Venison or deer with tomato-based sauce,1.59,25.64,2.84
Venison or deer with gravy,1.58,25.48,3.53
Chili con carne with venison/deer and beans,7.21,8.26,2.21
Chicken or turkey cacciatore,6.94,13.19,10.63
Spaghetti sauce with poultry,6.54,6.32,2.5
Spaghetti sauce with poultry and added vegetables,6.04,6.33,2.29
"Stewed chicken with tomato-based sauce, Mexican style",2.46,11.98,7.06
Chili con carne with chicken or turkey and beans,7.36,8.42,2.67
Chicken with gravy,1.58,18.88,5.21
Chicken or turkey fricassee,3.5,10.65,7.14
Turkey with gravy,1.58,20.46,3.46
Chicken or turkey with cream sauce,2.74,19.81,7.41
Chicken or turkey with mushroom sauce,1.84,19.29,5.69
Chicken or turkey with teriyaki,1.62,25.73,5.96
"Chicken, shredded or pulled, with barbecue sauce",12.23,19.0,4.64
Sweet and sour chicken or turkey,23.86,10.1,12.65
"Sweet and sour chicken or turkey, without vegetables",23.86,10.1,12.65
Chicken curry,6.47,6.47,6.45
Chicken curry with rice,15.08,4.95,3.98
Chicken with mole sauce,3.22,18.97,5.58
Chicken or turkey with cheese sauce,1.64,21.77,8.9
Chicken or turkey cordon bleu,9.26,22.63,9.12
Chicken or turkey parmigiana,8.26,16.25,8.29
Orange chicken,22.46,14.46,12.68
Sesame chicken,26.88,14.33,14.25
Chicken kiev,5.45,21.31,19.1
"Stuffed chicken, drumstick or breast, Puerto Rican style",6.53,28.07,10.43
"Fish with cream or white sauce, not tuna or lobster",2.74,17.04,3.57
"Crab, deviled",13.61,11.74,9.35
Crab imperial,3.2,13.96,7.31
Fish timbale or mousse,1.76,10.23,10.94
Lobster newburg,4.14,11.62,20.08
Lobster with butter sauce,0.01,17.0,9.68
Shrimp cocktail,10.76,15.37,1.48
Tuna with cream or white sauce,2.81,14.42,3.64
Seafood newburg,4.37,12.02,20.19
Seafood sauce,2.55,8.52,17.45
Spaghetti sauce with seafood,7.09,5.33,1.48
Spaghetti sauce with seafood and added vegetables,6.59,5.34,1.26
Shrimp with lobster sauce,2.22,16.78,7.86
Sweet and sour shrimp,15.53,7.14,8.6
Fish sauce,3.64,5.06,0.01
Shrimp scampi,1.76,19.63,12.06
Fish moochim,10.18,37.83,16.51
Fish with tomato-based sauce,1.59,16.28,0.69
Fish curry,6.58,4.94,5.39
Fish curry with rice,15.15,4.03,3.34
Mussels with tomato-based sauce,5.02,12.2,2.32
Sardines with tomato-based sauce,0.54,20.86,10.45
Sardines with mustard sauce,0.54,20.86,10.45
Shrimp teriyaki,3.34,21.62,1.56
Scallops with cheese sauce,5.43,17.48,5.06
Ceviche,3.58,10.34,0.75
"Crabs in tomato-based sauce, Puerto Rican style",2.96,12.52,8.9
"Shrimp in garlic sauce, Puerto Rican style",2.51,11.56,24.97
"Stewed codfish, no potatoes, Puerto Rican style",4.27,12.05,4.42
"Meat with barbecue sauce, NS as to type of meat",12.74,20.88,6.8
"Meatballs, NS as to type of meat, with sauce",0.13,18.03,11.98
"Meat loaf, Puerto Rican style",10.59,19.79,21.94
Meat with tomato-based sauce,1.58,21.72,6.36
Spaghetti sauce with meat,6.54,5.93,4.36
Spaghetti sauce with meat and added vegetables,6.04,5.94,4.14
"Stewed, seasoned, ground beef and pork, Mexican style",1.48,16.7,6.98
"Meat with gravy, NS as to type of meat,",1.58,21.56,7.05
"Beef and potatoes, no sauce",14.52,7.92,4.93
"Beef stew with potatoes, tomato-based sauce",9.94,8.99,3.34
"Beef stew with potatoes, tomato-based sauce, Mexican style",6.47,12.48,3.59
Beef goulash with potatoes,7.68,11.46,4.39
"Beef and potatoes with cream sauce, white sauce or mushroom sauce",8.67,7.73,3.8
"Beef stew with potatoes, gravy",7.63,9.19,3.51
"Beef, roast, hash",10.74,12.2,8.09
Corned beef hash,9.27,8.73,10.24
Beef and potatoes with cheese sauce,11.1,8.15,5.6
"Stewed, seasoned, ground beef with potatoes, Mexican style",5.61,9.9,10.09
"Beef and noodles, no sauce",16.24,11.37,8.41
Beef and macaroni with cheese sauce,12.31,9.12,5.38
Beef and noodles with tomato-based sauce,10.67,8.74,3.92
Chili con carne with beans and macaroni,16.91,5.8,2.92
Beef goulash with noodles,10.88,12.5,5.1
Beef and noodles with gravy,15.39,7.7,5.07
Beef and noodles with cream or white sauce,15.02,7.85,5.26
Beef stroganoff with noodles,8.84,7.66,6.98
Beef and noodles with mushroom sauce,14.97,7.54,5.13
Beef and noodles with soy-based sauce,7.64,13.18,10.06
"Beef and rice, no sauce",17.23,7.27,5.0
Biryani with meat,12.2,8.5,6.77
Beef and rice with tomato-based sauce,15.88,6.39,5.15
Porcupine balls with tomato-based sauce,13.39,10.35,6.2
Chili con carne with beans and rice,16.65,5.07,2.72
Beef and rice with gravy,15.98,6.28,5.12
Beef and rice with cream sauce,15.89,6.69,5.17
Beef and rice with mushroom sauce,15.54,6.25,5.17
Porcupine balls with mushroom sauce,10.71,10.33,7.76
Beef and rice with soy-based sauce,8.05,13.57,10.27
Beef and rice with cheese sauce,14.64,8.07,5.36
Meat loaf made with beef,7.19,17.49,10.69
"Meat loaf made with beef, with tomato-based sauce",6.76,13.79,8.33
Beef wellington,10.1,19.1,27.37
Corned beef patty,9.27,8.73,10.24
"Stuffed pot roast, with potatoes, Puerto Rican style",7.77,24.4,23.56
"Beef stew with potatoes, Puerto Rican style",6.56,14.57,14.85
"Stewed corned beef, Puerto Rican style",10.32,13.43,11.15
Meat loaf made with ham,6.13,20.67,7.47
Ham and noodles with cream or white sauce,15.32,6.8,5.37
Ham and rice with mushroom sauce,16.28,5.37,5.18
Ham or pork with stuffing,10.43,6.26,8.27
Ham croquette,2.58,17.98,20.7
Pork and rice with tomato-based sauce,16.78,6.42,5.0
Sausage and rice with tomato-based sauce,16.4,4.63,5.49
Sausage and rice with mushroom sauce,16.8,4.86,6.01
Sausage and rice with cheese sauce,13.94,6.32,7.61
Sausage and noodles with cream or white sauce,14.83,5.9,7.73
"Ham and noodles, no sauce",15.88,7.15,5.54
"Ham or pork and rice, no sauce",16.8,6.73,4.99
Ham or pork and potatoes with gravy,11.68,5.4,6.33
Ham or pork and potatoes with cheese sauce,11.11,7.86,5.69
"Stewed pig's feet, Puerto Rican style",4.13,9.99,8.7
